,Date,Course,Number,Id,Ins
0,2018-05-26,Summer01,1,101,Lu
1,2018-05-27,Summer01,2,102,Jerry
2,2018-05-29,Summer01,3,302,Lu
3,2018-05-31,Summer01,2,103,Tang
4,2018-06-01,Summer01,3,201,Sun
5,2018-06-02,Summer01,4,104,Jin
6,2018-06-03,Summer01,5,303,Jerry
7,2018-06-05,Summer01,4,301,Tang
8,2018-06-07,Summer01,6,202,Lu
9,2018-06-08,Summer01,5,401,Tang
10,2018-06-09,Summer01,7,402,Lu
11,2018-06-10,Summer01,8,403,Jerry
12,2018-06-12,Summer01,6,501,Tang
13,2018-06-14,Summer01,9,502,Lu
14,2018-06-15,Summer01,10,503,Jin
15,2018-06-16,Summer01,7,601,Tang
16,2018-06-17,Summer01,11,603,Jerry
17,2018-06-19,Summer01,8,701,Wu
18,2018-06-21,Summer01,12,602,Jerry
19,2018-06-22,Summer01,13,801,Jin
20,2018-06-23,Summer01,9,702,Tang
21,2018-06-24,Summer01,10,803,Wu
22,2018-06-26,Summer01,11,1001,Lu
23,2018-06-28,Summer01,14,802,Jerry
24,2018-06-29,Summer01,12,901,Yan
25,2018-06-30,Summer01,15,903,Jin
26,2018-07-01,Summer01,13,1101,Tang
27,2018-07-03,Summer01,14,1002,Lu
28,2018-07-05,Summer01,15,1102,Tang
29,2018-07-06,Summer01,16,904,Jin
30,2018-07-07,Summer01,17,1006,Jerry
31,2018-07-08,Summer01,16,1103,Tang
32,2018-07-10,Summer01,17,1003,Lu
33,2018-07-12,Summer01,18,902,Sun
34,2018-07-13,Summer01,18,1104,Jerry
35,2018-07-14,Summer01,19,1105,Jerry
36,2018-07-15,Summer01,19,1202,Wu
37,2018-07-17,Summer01,20,1004,Lu
38,2018-07-19,Summer01,21,1409,Jon
39,2018-07-20,Summer01,20,1106,Jin
40,2018-07-21,Summer01,22,1201,Sun
41,2018-07-22,Summer01,23,1401,Tang
42,2018-07-24,Summer01,21,1107,Lu
43,2018-07-26,Summer01,24,1301,Zhao
44,2018-07-27,Summer01,25,1402,Tang
45,2018-07-28,Summer01,22,1307,Jin
46,2018-07-29,Summer01,26,1403,Tang
47,2018-07-31,Summer01,23,1501,Lu
48,2018-08-02,Summer01,27,1302,Zhao
49,2018-08-03,Summer01,28,1404,Tang
50,2018-08-04,Summer01,29,1303,Zhao
51,2018-08-05,Summer01,30,1405,Wu
52,2018-08-07,Summer01,24,1502,Lu
53,2018-08-09,Summer01,31,1304,Zhao
54,2018-08-10,Summer01,32,1406,Wu
55,2018-08-11,Summer01,33,1305,Zhao
56,2018-08-12,Summer01,34,1407,Wu
57,2018-08-14,Summer01,25,1005,Lu
58,2018-08-16,Summer01,35,1306,Zhao
59,2018-08-17,Summer01,36,1408,Wu
