,Date,Course_x,Number_x,Class_x,Ins_x,Course_y,Number_y,Class_y,Ins_y
0,2018-08-11,Summer03,1.0,Practice 01: Object I,Lu,,,,
1,2018-08-12,Summer03,2.0,Practice 02: Object II,Jerry,,,,
2,2018-08-14,Summer03,2.0,Recursion I and Binary search,Tang,,,,
3,2018-08-16,Summer03,3.0,Practice 04: Linked List,Lu,,,,
4,2018-08-17,Summer03,3.0,Queue and Stack,Tang,,,,
5,2018-08-18,Summer03,4.0,Practice 03: Excercise 1,Jin,,,,
6,2018-08-19,Summer03,5.0,Practice 05: Excercise 2,Jerry,,,,
7,2018-08-21,Summer03,6.0,Practice 06: Queue Stack Deque,Lu,,,,
8,2018-08-23,Summer03,4.0,Linked List,Tang,,,,
9,2018-08-24,Summer03,5.0,Binary Tree,Tang,,,,
10,2018-08-25,Summer03,7.0,Practice 07: Binary Tree 1,Jerry,,,,
11,2018-08-26,Summer03,8.0,Practice 08: Binary Tree 2,Lu,,,,
12,2018-08-28,Summer03,6.0,Heap and Graph Search I,Tang,,,,
13,2018-08-30,Summer03,9.0,Practice 09: Heap in Java,Lu,,,,
14,2018-08-31,Summer03,7.0,DFS,Tang,,,,
15,2018-09-01,Summer03,10.0,Practice 11: Excercise 3,Jin,,,,
16,2018-09-02,Summer03,11.0,Practice 10: Implement Heap,Jerry,,,,
17,2018-09-04,Summer03,12.0,Practice 12: DFS + Review,Jerry,,,,
18,2018-09-06,Summer03,8.0,HashTable I and String I,Wu,,,,
19,2018-09-07,Summer03,13.0,Practice 13: Map Set Hash,Lu,,,,
20,2018-09-08,Summer03,9.0,Midterm I,Yan,,,,
21,2018-09-09,Summer03,14.0,Practice 14: HashTable II,Jerry,,,,
22,2018-09-11,Summer03,10.0,String II,Wu,,,,
23,2018-09-13,Summer03,11.0,OOD 1,Zhao,,,,
24,2018-09-14,Summer03,15.0,Practice 15: String & Integer,Jerry,,,,
25,2018-09-15,Summer03,12.0,Recursion II,Tang,,,,
26,2018-09-16,Summer03,16.0,Practice 17: Inheritance & etc,Jerry,,,,
27,2018-09-18,Summer03,17.0,Practice 16: Excercise 4,Jerry,,,,
28,2018-09-20,Summer03,13.0,Bit,Wu,,,,
29,2018-09-21,Summer03,14.0,DP I,Tang,Fall01,1.0,Practice 01: Object I,Lu
30,2018-09-22,Summer03,18.0,Practice 18: Excercise 5,Jin,,,,
31,2018-09-23,Summer03,15.0,OOD 2,Zhao,Fall01,2.0,Recursion I and Binary search,Tang
32,2018-09-24,,,,,Fall01,2.0,Practice 02: Object II,Lu
33,2018-09-25,Summer03,16.0,Sampling,Wu,,,,
34,2018-09-26,,,,,Fall01,3.0,Practice 03: Excercise 1,Joe
35,2018-09-27,Summer03,17.0,OOD 3,Zhao,,,,
36,2018-09-28,Summer03,19.0,Practice 19: Nested Class & etc,Jerry,Fall01,3.0,Queue and Stack,Tang
37,2018-09-29,Summer03,20.0,Practice 20: Excercise 6,Jin,Fall01,4.0,Practice 06: Queue Stack Deque,Lu
38,2018-09-30,Summer03,18.0,DP II,Tang,Fall01,4.0,Linked List,Wu
