Date,Class,Title,Ins,Id,Course
8/11/2018,Practice 1,分班,Lu,101,Summer03
8/12/2018,Practice 2,0,Jerry,102,Summer03
8/14/2018,Class 2,Recursion I and Binary Search,Tang,103,Summer03
8/16/2018,Practice 4,(先上4),Lu,302,Summer03
8/17/2018,Class 3,Queue and Stack,Tang,201,Summer03
8/18/2018,Practice 3,0,Jin,104,Summer03
8/19/2018,Practice 5,0,Jerry,303,Summer03
8/21/2018,Practice 06,0,Lu,202,Summer03
8/23/2018,Class 4,Linked List,Tang,301,Summer03
8/24/2018,Class 5,Binary Tree,Tang,401,Summer03
8/25/2018,Practice 07,0,Jerry,402,Summer03
8/26/2018,Practice 08,0,Lu,403,Summer03
8/28/2018,Class 6,Heap and Graph Search I,Tang,501,Summer03
8/30/2018,Practice 9,09: Heap in Java,Lu,502,Summer03
8/31/2018,Class 7,DFS,Tang,601,Summer03
9/1/2018,Practice 11,上11,Jin,504,Summer03
9/2/2018,Practice 10,上10,Jerry,503,Summer03
9/4/2018,Practice 12,DFS + Review,Jerry,602,Summer03
9/6/2018,Class 8,Hashtable I and String I,Wu,701,Summer03
9/7/2018,Practice 13,Map Set Hash,Lu,801,Summer03
9/8/2018,Class 9,Midterm I,Yan,901,Summer03
9/9/2018,Practice 14,Hashtable II,Jerry,802,Summer03
